日期,城市,AQI,PM2.5,PM10,SO2,NO2,CO,O3
2024-01-01,北京,120,80,95,12,45,1.2,65
2024-01-01,上海,85,55,68,8,32,0.8,78
2024-01-01,广州,75,48,62,6,28,0.7,82
2024-01-02,北京,100,65,78,10,40,1.0,70
2024-01-02,上海,90,60,72,9,35,0.9,75
2024-01-02,广州,68,42,55,5,25,0.6,85
2024-01-03,北京,150,100,120,15,55,1.5,55
2024-01-03,上海,75,50,60,7,30,0.7,80
2024-01-03,广州,62,38,48,4,22,0.5,88
2024-01-04,北京,95,62,75,9,38,0.9,72
2024-01-04,上海,82,52,65,7,30,0.8,78
2024-01-04,广州,70,45,58,5,26,0.6,84
2024-01-05,北京,180,130,150,18,65,1.8,48
2024-01-05,上海,95,65,78,10,38,1.0,72
2024-01-05,广州,58,35,45,4,20,0.5,90
2024-01-06,北京,110,72,88,11,42,1.1,68
2024-01-06,上海,78,50,62,7,28,0.7,80
2024-01-06,广州,65,40,52,5,24,0.6,86
2024-01-07,北京,88,58,70,8,35,0.9,75
2024-01-07,上海,72,45,55,6,26,0.6,82
2024-01-07,广州,55,32,42,3,18,0.4,92
2024-01-08,北京,,75,90,12,48,1.3,62
2024-01-08,上海,80,52,65,,30,0.8,78
2024-01-08,广州,60,38,50,4,22,,88
2024-01-09,北京,125,85,100,13,50,1.4,60
2024-01-09,上海,88,58,72,8,34,0.9,76
2024-01-09,广州,72,46,60,6,26,0.6,84
2024-01-10,北京,140,95,115,14,52,1.5,55
2024-01-10,上海,92,62,75,9,36,1.0,74
2024-01-10,广州,68,42,55,5,24,0.5,86

